imdb_title_id,original_title,release_year,genre,duration,country,content_rating,director,income,votes,score
tt4154796,Avengers: Endgame,2019,"action, adventure, drama",181,Usa,Not Rated,"Anthony Russo, Joe Russo",2797800564,754786,8.2
tt0078788,Apocalypse Now,1979,"drama, mystery, war",147,Usa,R,Francis Ford Coppola,91968688,591251,8.2
tt0364569,Oldeuboi,2005,"action, drama, mystery",120,South Korea,R,Chan-Wook Park,15002116,501082,8.1
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,comedy,95,Uk,PG,Stanley Kubrick,9443876,441115,8.1
tt0047396,Rear Window,1955,"mystery, thriller",112,Usa,Not Rated,Alfred Hitchcock,37032034,432390,8.1
tt2380307,Coco,2017,"animation, adventure, family",105,Usa,Not Rated,"Lee Unkrich, Adrian Molina",807083670,352455,8.1
tt0405094,Das Leben der Anderen,2007,"drama, mystery, thriller",137,Germany,R,Florian Henckel Von Donnersmarck,77356942,349642,8.1
tt4633694,Spider-Man: Into the Spider-Verse,2018,"animation, action, adventure",117,Usa,Not Rated,"Bob Persichetti, Peter Ramsey",375540831,335892,8.1
tt1187043,3 Idiots,2009,"comedy, drama",170,India,Not Rated,Rajkumar Hirani,60262836,332217,8.1
tt0119698,Mononoke-hime,2000,"animation, adventure, fantasy",134,Japan,PG-13,Hayao Miyazaki,169785629,331045,8.0
tt0087843,Once Upon a Time in America,1984,"crime, drama",229,Usa,R,Sergio Leone,5472914,302317,8.0
tt0032553,The Great Dictator,1945,"comedy, drama, war",125,Usa,Not Rated,Charles Chaplin,969879,197381,8.0
tt0043014,Sunset Blvd.,1951,"drama, film-noir",110,Usa,Not Rated,Billy Wilder,299645,195789,8.0
tt0361748,Inglourious Basterds,2009,"adventure, drama, war",153,Germany,R,Quentin Tarantino,321455689,1229958,8.0
tt0169547,American Beauty,2000,drama,122,Usa,R,Sam Mendes,356296601,1049009,8.0
tt0112573,Braveheart,1995,"biography, drama, history",178,Usa,R,Mel Gibson,213216216,941683,7.9
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,"action, adventure, fantasy",131,Usa,PG,Richard Marquand,475347111,928036,7.9
tt0105236,Reservoir Dogs,1992,"crime, drama, thriller",99,Usa,R,Quentin Tarantino,2889963,896551,7.9
tt0338013,Eternal Sunshine of the Spotless Mind,2004,"drama, romance, sci-fi",108,Usa,R,Michel Gondry,74036715,889875,7.9
tt0114709,Toy Story,1996,"animation, adventure, comedy",81,Usa,G,John Lasseter,404265438,864461,7.9
tt0119217,Good Will Hunting,1998,"drama, romance",126,Usa,R,Gus Van Sant,225933435,837379,7.8
tt0208092,Snatch,2001,"comedy, crime",104,Uk,R,Guy Ritchie,83557872,766589,7.8
tt0180093,Requiem for a Dream,2000,drama,102,Usa,R,Darren Aronofsky,7390108,748291,7.8
tt0066921,A Clockwork Orange,1972,"crime, drama, sci-fi",136,Uk,Not Rated,Stanley Kubrick,26903440,740301,7.8
tt0435761,Toy Story 3,2010,"animation, adventure, comedy",103,Usa,G,Lee Unkrich,1066969703,739717,7.8
tt0086250,Scarface,1984,"crime, drama",170,Usa,R,Brian De Palma,66023585,721343,7.8
tt0075314,Taxi Driver,1976,"crime, drama",114,Usa,R,Martin Scorsese,28441292,703264,7.7
tt0211915,Le fabuleux destin d'Amélie Poulain,2002,"comedy, romance",122,France,R,Jean-Pierre Jeunet,173924742,690480,7.7
tt0093058,Full Metal Jacket,1987,"drama, war",116,Uk,Not Rated,Stanley Kubrick,46357676,658175,7.7
tt0090605,Aliens,1986,"action, adventure, sci-fi",137,Usa,R,James Cameron,131384634,639500,7.7
tt0062622,2001: A Space Odyssey,1968,"adventure, sci-fi",149,Uk,G,Stanley Kubrick,68989547,587866,7.6
tt0033467,Citizen Kane,1948,"drama, mystery",119,Usa,Not Rated,Orson Welles,1594107,389322,7.6
tt8579674,1917,2020,"drama, war",119,Usa,Not Rated,Sam Mendes,384857224,362897,7.6
tt0086879,Amadeus,1985,"biography, drama, history",160,Usa,R,Milos Forman,52066791,361028,7.6
tt0052357,Vertigo,1958,"mystery, romance, thriller",128,Usa,Not Rated,Alfred Hitchcock,7796389,352786,7.5
tt0053125,North by Northwest,1959,"adventure, mystery, thriller",136,Usa,Not Rated,Alfred Hitchcock,73446,291628,7.5
tt2106476,Jagten,2012,drama,115,Denmark,R,Thomas Vinterberg,15843274,269616,7.5
tt0056172,Lawrence of Arabia,1963,"adventure, biography, drama",228,Uk,PG,David Lean,45710874,261504,7.5
tt0070735,The Sting,1974,"comedy, crime, drama",129,Usa,PG,George Roy Hill,156000000,236285,7.5
tt0082096,Das Boot,1982,"adventure, drama, thriller",149,West Germany,R,Wolfgang Petersen,11487676,226427,7.5
tt0059578,Per qualche dollaro in più,1965,western,132,Italy,Not Rated,Sergio Leone,15000000,226039,7.4
tt1832382,Jodaeiye Nader az Simin,2011,drama,123,Iran,PG-13,Asghar Farhadi,22926076,214165,7.4
tt0045152,Singin' in the Rain,1953,"comedy, musical, romance",103,Usa,Not Rated,Stanley Donen,1864182,213152,7.4
